0 hermite_formula_-0.001000_0.001000,"Average Error","Error LB","Error UB","Abs. Worst"
10 legendre_formula_-0.010000_0.010000,0.0000000217,-0.0000000481,0.0000000572,0.0000000572
11 legendre_formula_-0.010000_0.010000,0.0000000189,-0.0000000551,0.0000000419,0.0000000551
12 legendre_formula_-0.010000_0.010000,0.0000000198,-0.0000000370,0.0000000377,0.0000000377
13 legendre_formula_-0.010000_0.010000,0.0000000194,-0.0000000400,0.0000000422,0.0000000422
14 legendre_formula_-0.010000_0.010000,0.0000000171,-0.0000000342,0.0000000349,0.0000000349
15 legendre_formula_-0.010000_0.010000,0.0000000197,-0.0000000501,0.0000000519,0.0000000519
16 legendre_formula_-0.010000_0.010000,0.0000000157,-0.0000000328,0.0000000329,0.0000000329
17 legendre_formula_-0.010000_0.010000,0.0000000225,-0.0000000484,0.0000000574,0.0000000574
18 legendre_formula_-0.010000_0.010000,0.0000000165,-0.0000000291,0.0000000303,0.0000000303
1 legendre_formula_-0.010000_0.010000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-0.010000_0.010000,0.0000000279,-0.0000000514,0.0000000521,0.0000000521
2 legendre_formula_-0.010000_0.010000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-0.010000_0.010000,0.0000000210,-0.0000000525,0.0000000504,0.0000000525
4 legendre_formula_-0.010000_0.010000,0.0000000223,-0.0000000462,0.0000000448,0.0000000462
5 legendre_formula_-0.010000_0.010000,0.0000000232,-0.0000000451,0.0000000464,0.0000000464
6 legendre_formula_-0.010000_0.010000,0.0000000183,-0.0000000397,0.0000000366,0.0000000397
7 legendre_formula_-0.010000_0.010000,0.0000000198,-0.0000000550,0.0000000434,0.0000000550
8 legendre_formula_-0.010000_0.010000,0.0000000155,-0.0000000295,0.0000000275,0.0000000295
9 legendre_formula_-0.010000_0.010000,0.0000000211,-0.0000000577,0.0000000506,0.0000000577
,0.0000000202,-0.0000000402,0.0000000402,0.0000000402
0 legendre_formula_-0.100000_0.100000,"Average Error","Error LB","Error UB","Abs. Worst"
10 legendre_formula_-0.100000_0.100000,0.0000000209,-0.0000000521,0.0000000376,0.0000000521
11 legendre_formula_-0.100000_0.100000,0.0000000200,-0.0000000573,0.0000000628,0.0000000628
12 legendre_formula_-0.100000_0.100000,0.0000002007,-0.0000075119,0.0000006113,0.0000075119
13 legendre_formula_-0.100000_0.100000,0.0000000201,-0.0000000397,0.0000000517,0.0000000517
14 legendre_formula_-0.100000_0.100000,0.0000000266,-0.0000000867,0.0000000895,0.0000000895
15 legendre_formula_-0.100000_0.100000,0.0000000208,-0.0000000519,0.0000000415,0.0000000519
16 legendre_formula_-0.100000_0.100000,0.0000000287,-0.0000000965,0.0000000885,0.0000000965
17 legendre_formula_-0.100000_0.100000,0.0000000222,-0.0000000420,0.0000000448,0.0000000448
18 legendre_formula_-0.100000_0.100000,0.0000000172,-0.0000000540,0.0000000410,0.0000000540
1 legendre_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-0.100000_0.100000,0.0000000201,-0.0000000553,0.0000000536,0.0000000553
2 legendre_formula_-0.100000_0.100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-0.100000_0.100000,0.0000000257,-0.0000000448,0.0000000429,0.0000000448
4 legendre_formula_-0.100000_0.100000,0.0000000261,-0.0000000573,0.0000000565,0.0000000573
5 legendre_formula_-0.100000_0.100000,0.0000000169,-0.0000000449,0.0000000569,0.0000000569
6 legendre_formula_-0.100000_0.100000,0.0000000223,-0.0000000409,0.0000000411,0.0000000411
7 legendre_formula_-0.100000_0.100000,0.0000000208,-0.0000000452,0.0000000535,0.0000000535
8 legendre_formula_-0.100000_0.100000,0.0000000125,-0.0000000274,0.0000000293,0.0000000293
9 legendre_formula_-0.100000_0.100000,0.0000000240,-0.0000000550,0.0000000538,0.0000000550
,0.0000000761,-0.0000003672,0.0000007134,0.0000007134
