0 laguerre_formula_-0.010000_0.010000,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-0.010000_0.010000,0.0000000261,-0.0000000477,0.0000000576,0.0000000576
11 laguerre_formula_-0.010000_0.010000,0.0000000284,-0.0000000503,0.0000000549,0.0000000549
12 laguerre_formula_-0.010000_0.010000,0.0000000244,-0.0000000523,0.0000000550,0.0000000550
13 laguerre_formula_-0.010000_0.010000,0.0000000225,-0.0000000470,0.0000000514,0.0000000514
14 laguerre_formula_-0.010000_0.010000,0.0000000244,-0.0000000541,0.0000000556,0.0000000556
15 laguerre_formula_-0.010000_0.010000,0.0000000256,-0.0000000518,0.0000000554,0.0000000554
16 laguerre_formula_-0.010000_0.010000,0.0000000262,-0.0000000569,0.0000000549,0.0000000569
17 laguerre_formula_-0.010000_0.010000,0.0000000258,-0.0000000548,0.0000000589,0.0000000589
18 laguerre_formula_-0.010000_0.010000,0.0000000246,-0.0000000530,0.0000000540,0.0000000540
1 laguerre_formula_-0.010000_0.010000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 laguerre_formula_-0.010000_0.010000,0.0000000281,-0.0000000564,0.0000000530,0.0000000564
2 laguerre_formula_-0.010000_0.010000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-0.010000_0.010000,0.0000000245,-0.0000000574,0.0000000569,0.0000000574
4 laguerre_formula_-0.010000_0.010000,0.0000000256,-0.0000000570,0.0000000573,0.0000000573
5 laguerre_formula_-0.010000_0.010000,0.0000000226,-0.0000000580,0.0000000522,0.0000000580
6 laguerre_formula_-0.010000_0.010000,0.0000000252,-0.0000000580,0.0000000565,0.0000000580
7 laguerre_formula_-0.010000_0.010000,0.0000000231,-0.0000000540,0.0000000584,0.0000000584
8 laguerre_formula_-0.010000_0.010000,0.0000000253,-0.0000000559,0.0000000512,0.0000000559
9 laguerre_formula_-0.010000_0.010000,0.0000000234,-0.0000000550,0.0000000556,0.0000000556
,0.0000000238,-0.0000000534,0.0000000534,0.0000000534
