"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:43:27 2019","BGRT","REL",0.0000000181,-0.0000000382,0.0000000390,0.0000000390,5,62
"Wed Jun  5 22:43:35 2019","BGRT","REL",0.0000000202,-0.0000000410,0.0000000409,0.0000000410,6,62
"Wed Jun  5 22:43:38 2019","BGRT","REL",0.0000000276,-0.0000000496,0.0000000495,0.0000000496,3,62
"Wed Jun  5 22:43:41 2019","BGRT","REL",0.0000000163,-0.0000000323,0.0000000316,0.0000000323,3,62
"Wed Jun  5 22:43:43 2019","BGRT","REL",0.0000000214,-0.0000000387,0.0000000390,0.0000000390,2,62
"Wed Jun  5 22:43:45 2019","BGRT","REL",0.0000000268,-0.0000000533,0.0000000506,0.0000000533,2,62
"Wed Jun  5 22:43:49 2019","BGRT","REL",0.0000000171,-0.0000000332,0.0000000351,0.0000000351,4,62
"Wed Jun  5 22:43:54 2019","BGRT","REL",0.0000000223,-0.0000000445,0.0000000436,0.0000000445,5,62
"Wed Jun  5 22:43:57 2019","BGRT","REL",0.0000000274,-0.0000000538,0.0000000567,0.0000000567,3,62
"Wed Jun  5 22:43:58 2019","BGRT","REL",0.0000000211,-0.0000000596,0.0000000596,0.0000000596,1,62
"Wed Jun  5 22:44:03 2019","BGRT","REL",0.0000000261,-0.0000000520,0.0000000498,0.0000000520,5,62
"Wed Jun  5 22:44:06 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 22:44:07 2019","BGRT","REL",0.0000000169,-0.0000000359,0.0000000339,0.0000000359,1,62
"Wed Jun  5 22:44:10 2019","BGRT","REL",0.0000000230,-0.0000000502,0.0000000476,0.0000000502,3,62
"Wed Jun  5 22:44:12 2019","BGRT","REL",0.0000000216,-0.0000000356,0.0000000361,0.0000000361,2,62
"Wed Jun  5 22:44:14 2019","BGRT","REL",0.0000000287,-0.0000000548,0.0000000537,0.0000000548,2,62
"Wed Jun  5 22:44:16 2019","BGRT","REL",0.0000000202,-0.0000000377,0.0000000419,0.0000000419,2,62
"Wed Jun  5 22:44:18 2019","BGRT","REL",0.0000000180,-0.0000000336,0.0000000335,0.0000000336,2,62
"Wed Jun  5 22:44:22 2019","BGRT","REL",0.0000000248,-0.0000000538,0.0000000509,0.0000000538,4,62
"Wed Jun  5 22:44:25 2019","BGRT","REL",0.0000000181,-0.0000000332,0.0000000302,0.0000000332,3,62
