0 hermite_formula_-10000000.0000000_100000000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
13 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
14 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
18 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-10000000.0000000_100000000.000000,0.0000000004,0.0000000000,0.0000000269,0.0000000269
2 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-10000000.0000000_100000000.000000,0.0000000004,0.0000000000,0.0000000274,0.0000000274
4 hermite_formula_-10000000.0000000_100000000.000000,0.0000000020,-0.0000000236,0.0000000281,0.0000000281
5 hermite_formula_-10000000.0000000_100000000.000000,0.0000000098,-0.0000000380,0.0000000356,0.0000000380
6 hermite_formula_-10000000.0000000_100000000.000000,0.0000000210,-0.0000000503,0.0000000518,0.0000000518
7 hermite_formula_-10000000.0000000_100000000.000000,0.0000000219,-0.0000000434,0.0000000535,0.0000000535
8 hermite_formula_-10000000.0000000_100000000.000000,0.0000000216,-0.0000000550,0.0000000428,0.0000000550
9 hermite_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
,0.0000000000,0.0000000000,0.0000000000,0.0000000000
