0 hermite_formula_-100000000000000.0000000_100000000000000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
13 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
14 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
18 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
6 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000002,-0.0000000125,0.0000000000,0.0000000125
8 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000220,-0.0000000450,0.0000000521,0.0000000521
9 hermite_formula_-100000000000000.0000000_100000000000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
,0.0000000000,0.0000000000,0.0000000000,0.0000000000
