"Average Error","Error LB","Error UB","Abs. Worst"
0.0000001380,-0.0000007453,0.0000010998,0.0000010998
0.0000507123,-0.0001773619,0.0017263076,0.0017263076
0.0000053661,-0.0000519883,0.0000681265,0.0000681265
0.0000037861,-0.0000310185,0.0000218026,0.0000310185
0.0000057575,-0.0000320869,0.0001410988,0.0001410988
0.0000000220,-0.0000000500,0.0000000445,0.0000000500
0.0000026396,-0.0000201036,0.0000218909,0.0000218909
0.0000000985,-0.0000003744,0.0000018313,0.0000018313
0.0000021926,-0.0000172049,0.0000143166,0.0000172049
0.0000142907,-0.0001546120,0.0001625414,0.0001625414
0.0000031551,-0.0000106258,0.0000910787,0.0000910787
0.0000032453,-0.0000113043,0.0000954978,0.0000954978
0.0000024687,-0.0000107112,0.0000319163,0.0000319163
0.0000047402,-0.0001584691,0.0000157054,0.0001584691
0.0000001927,-0.0000008665,0.0000059193,0.0000059193
0.0000020980,-0.0000072431,0.0000461507,0.0000461507
0.0000015186,-0.0000101354,0.0000150007,0.0000150007
0.0000016670,-0.0000179906,0.0000141334,0.0000179906
0.0000010563,-0.0000160028,0.0000137093,0.0000160028
0.0000000705,-0.0000009658,0.0000003373,0.0000009658
0.0000000579,-0.0000004029,0.0000003567,0.0000004029
0.0000005828,-0.0000080399,0.0000113239,0.0000113239
0.0000008195,-0.0000240596,0.0000012755,0.0000240596
0.0000004921,-0.0000011622,0.0000180924,0.0000180924
0.0000006285,-0.0000053290,0.0000119425,0.0000119425
0.0000000838,-0.0000005664,0.0000004110,0.0000005664
0.0000005886,-0.0000046176,0.0000107919,0.0000107919
0.0000000846,-0.0000009713,0.0000003714,0.0000009713
0.0000004785,-0.0000027034,0.0000031933,0.0000031933
0.0000001687,-0.0000027527,0.0000004380,0.0000027527
0.0000000685,-0.0000012036,0.0000002718,0.0000012036
0.0000001231,-0.0000012595,0.0000013778,0.0000013778
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000514382,-0.0000571952,0.0026293187,0.0026293187
0.0000469318,-0.0008861187,0.0001235105,0.0008861187
0.0000326010,-0.0014257929,0.0001220139,0.0014257929
0.0000099351,-0.0000530195,0.0003077467,0.0003077467
0.0000523560,-0.0004157563,0.0023030735,0.0023030735
