0 legendre_formula_0.95_1.05,"Average Error","Error LB","Error UB","Abs. Worst"
13 legendre_formula_0.95_1.05,0.0000038377,-0.0000127996,0.0000442312,0.0000442312
14 legendre_formula_0.95_1.05,0.0016181454,-0.0946772391,0.0002261188,0.0946772391
16 legendre_formula_0.95_1.05,0.0003201546,-0.0015586837,0.0089470045,0.0089470045
17 legendre_formula_0.95_1.05,0.0000169853,-0.0002561575,0.0000580666,0.0002561575
18 legendre_formula_0.95_1.05,0.0000032934,-0.0000082548,0.0000338599,0.0000338599
1 legendre_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_0.95_1.05,0.0000000221,-0.0000000496,0.0000000435,0.0000000496
2 legendre_formula_0.95_1.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_0.95_1.05,0.0000015770,-0.0000066005,0.0000087286,0.0000087286
4 legendre_formula_0.95_1.05,0.0000000345,-0.0000000986,0.0000001281,0.0000001281
5 legendre_formula_0.95_1.05,0.0000000187,-0.0000000548,0.0000000512,0.0000000548
6 legendre_formula_0.95_1.05,0.0000000227,-0.0000000520,0.0000000581,0.0000000581
7 legendre_formula_0.95_1.05,0.0000000255,-0.0000000476,0.0000000564,0.0000000564
,0.0000000251,-0.0000000726,0.0000000585,0.0000000726
