0 legendre_formula_-10.000000_10.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 legendre_formula_-10.000000_10.000000,0.0000007991,-0.0000073189,0.0000205162,0.0000205162
11 legendre_formula_-10.000000_10.000000,0.0001482873,-0.0011388346,0.0070977389,0.0070977389
12 legendre_formula_-10.000000_10.000000,0.0000712292,-0.0032401477,0.0006330272,0.0032401477
13 legendre_formula_-10.000000_10.000000,0.0001323964,-0.0048651758,0.0023809577,0.0048651758
14 legendre_formula_-10.000000_10.000000,0.0013155180,-0.0009703863,0.0799712709,0.0799712709
15 legendre_formula_-10.000000_10.000000,0.0000010087,-0.0000071674,0.0000270284,0.0000270284
16 legendre_formula_-10.000000_10.000000,0.0000032644,-0.0000261481,0.0001375320,0.0001375320
17 legendre_formula_-10.000000_10.000000,0.0000011493,-0.0000077928,0.0000330578,0.0000330578
18 legendre_formula_-10.000000_10.000000,0.0000026751,-0.0000148701,0.0001291397,0.0001291397
1 legendre_formula_-10.000000_10.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 legendre_formula_-10.000000_10.000000,0.0000001590,-0.0000021176,0.0000013017,0.0000021176
2 legendre_formula_-10.000000_10.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 legendre_formula_-10.000000_10.000000,0.0000001098,-0.0000001938,0.0000018587,0.0000018587
4 legendre_formula_-10.000000_10.000000,0.0000000988,-0.0000011055,0.0000002210,0.0000011055
5 legendre_formula_-10.000000_10.000000,0.0000001031,-0.0000023449,0.0000008133,0.0000023449
6 legendre_formula_-10.000000_10.000000,0.0000000238,-0.0000000468,0.0000000538,0.0000000538
7 legendre_formula_-10.000000_10.000000,0.0000000521,-0.0000001505,0.0000005107,0.0000005107
8 legendre_formula_-10.000000_10.000000,0.0000000382,-0.0000000893,0.0000000866,0.0000000893
,0.0097584813,-0.0194088517,0.5165301248,0.5165301248
