0 laguerre_formula_-1.1_-0.9,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-1.1_-0.9,0.0000000193,-0.0000000508,0.0000000488,0.0000000508
11 laguerre_formula_-1.1_-0.9,0.0000000206,-0.0000000559,0.0000000559,0.0000000559
12 laguerre_formula_-1.1_-0.9,0.0000000238,-0.0000000526,0.0000000530,0.0000000530
13 laguerre_formula_-1.1_-0.9,0.0000000196,-0.0000000438,0.0000000553,0.0000000553
14 laguerre_formula_-1.1_-0.9,0.0000000234,-0.0000000547,0.0000000530,0.0000000547
15 laguerre_formula_-1.1_-0.9,0.0000000216,-0.0000000549,0.0000000484,0.0000000549
16 laguerre_formula_-1.1_-0.9,0.0000000199,-0.0000000499,0.0000000570,0.0000000570
17 laguerre_formula_-1.1_-0.9,0.0000000176,-0.0000000387,0.0000000394,0.0000000394
18 laguerre_formula_-1.1_-0.9,0.0000000215,-0.0000000480,0.0000000463,0.0000000480
1 laguerre_formula_-1.1_-0.9,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 laguerre_formula_-1.1_-0.9,0.0000000234,-0.0000000485,0.0000000462,0.0000000485
2 laguerre_formula_-1.1_-0.9,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-1.1_-0.9,0.0000000208,-0.0000000508,0.0000000571,0.0000000571
4 laguerre_formula_-1.1_-0.9,0.0000000248,-0.0000000412,0.0000000473,0.0000000473
5 laguerre_formula_-1.1_-0.9,0.0000000206,-0.0000000575,0.0000000544,0.0000000575
6 laguerre_formula_-1.1_-0.9,0.0000000231,-0.0000000446,0.0000000480,0.0000000480
7 laguerre_formula_-1.1_-0.9,0.0000000180,-0.0000000359,0.0000000369,0.0000000369
8 laguerre_formula_-1.1_-0.9,0.0000000221,-0.0000000596,0.0000000584,0.0000000596
9 laguerre_formula_-1.1_-0.9,0.0000000256,-0.0000000557,0.0000000475,0.0000000557
,0.0000000232,-0.0000000547,0.0000000432,0.0000000547
