"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:34:59 2019","BGRT","REL",0.0000132423,-0.0000361656,0.0003079284,0.0003079284,1,62
"Wed Jun  5 23:35:03 2019","BGRT","REL",0.0000406435,-0.0008908618,0.0001073086,0.0008908618,4,62
"Wed Jun  5 23:35:12 2019","BGRT","REL",0.0000063371,-0.0000255262,0.0000304712,0.0000304712,9,62
"Wed Jun  5 23:35:17 2019","BGRT","REL",0.0000111432,-0.0000571734,0.0000633723,0.0000633723,5,62
"Wed Jun  5 23:35:20 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,3,62
"Wed Jun  5 23:35:26 2019","BGRT","REL",0.0000093142,-0.0003859069,0.0000202379,0.0003859069,6,62
"Wed Jun  5 23:35:30 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,4,62
"Wed Jun  5 23:35:36 2019","BGRT","REL",0.0000025545,-0.0000381467,0.0000318077,0.0000381467,6,62
"Wed Jun  5 23:35:49 2019","BGRT","REL",0.0000001993,-0.0000009903,0.0000010018,0.0000010018,13,62
"Wed Jun  5 23:35:54 2019","BGRT","REL",0.0000000174,-0.0000000390,0.0000000441,0.0000000441,5,62
"Wed Jun  5 23:36:00 2019","BGRT","REL",0.0000000847,-0.0000002501,0.0000002473,0.0000002501,5,62
"Wed Jun  5 23:36:04 2019","BGRT","REL",0.0000000207,-0.0000000453,0.0000000534,0.0000000534,4,62
"Wed Jun  5 23:36:08 2019","BGRT","REL",0.0000000229,-0.0000000569,0.0000000551,0.0000000569,4,62
