0 laguerre_formula_-1.000000_1.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-1.000000_1.000000,0.0000000211,-0.0000000479,0.0000000573,0.0000000573
11 laguerre_formula_-1.000000_1.000000,0.0000000207,-0.0000000497,0.0000000572,0.0000000572
13 laguerre_formula_-1.000000_1.000000,0.0000000210,-0.0000000472,0.0000000556,0.0000000556
14 laguerre_formula_-1.000000_1.000000,0.0000000217,-0.0000000528,0.0000000519,0.0000000528
15 laguerre_formula_-1.000000_1.000000,0.0000000217,-0.0000000485,0.0000000497,0.0000000497
16 laguerre_formula_-1.000000_1.000000,0.0000000194,-0.0000000462,0.0000000405,0.0000000462
17 laguerre_formula_-1.000000_1.000000,0.0000000242,-0.0000000535,0.0000000526,0.0000000535
1 laguerre_formula_-1.000000_1.000000,0.0000000172,-0.0000000482,0.0000000437,0.0000000482
18 laguerre_formula_-1.000000_1.000000,0.0000000207,-0.0000000546,0.0000000480,0.0000000546
19 laguerre_formula_-1.000000_1.000000,0.0000000219,-0.0000000490,0.0000000554,0.0000000554
20 laguerre_formula_-1.000000_1.000000,0.0000000217,-0.0000000478,0.0000000490,0.0000000490
21 laguerre_formula_-1.000000_1.000000,0.0000000206,-0.0000000547,0.0000000474,0.0000000547
22 laguerre_formula_-1.000000_1.000000,0.0000000197,-0.0000000431,0.0000000559,0.0000000559
23 laguerre_formula_-1.000000_1.000000,0.0000000228,-0.0000000451,0.0000000472,0.0000000472
24 laguerre_formula_-1.000000_1.000000,0.0000000233,-0.0000000477,0.0000000490,0.0000000490
25 laguerre_formula_-1.000000_1.000000,0.0000000210,-0.0000000523,0.0000000454,0.0000000523
26 laguerre_formula_-1.000000_1.000000,0.0000000216,-0.0000000422,0.0000000469,0.0000000469
27 laguerre_formula_-1.000000_1.000000,0.0000000233,-0.0000000462,0.0000000558,0.0000000558
2 laguerre_formula_-1.000000_1.000000,0.0000000203,-0.0000000468,0.0000000534,0.0000000534
28 laguerre_formula_-1.000000_1.000000,0.0000000210,-0.0000000529,0.0000000456,0.0000000529
29 laguerre_formula_-1.000000_1.000000,0.0000000248,-0.0000000532,0.0000000509,0.0000000532
30 laguerre_formula_-1.000000_1.000000,0.0000000221,-0.0000000500,0.0000000498,0.0000000500
31 laguerre_formula_-1.000000_1.000000,0.0000000194,-0.0000000545,0.0000000459,0.0000000545
32 laguerre_formula_-1.000000_1.000000,0.0000000196,-0.0000000514,0.0000000519,0.0000000519
33 laguerre_formula_-1.000000_1.000000,0.0000000191,-0.0000000501,0.0000000415,0.0000000501
34 laguerre_formula_-1.000000_1.000000,0.0000000220,-0.0000000544,0.0000000481,0.0000000544
35 laguerre_formula_-1.000000_1.000000,0.0000000232,-0.0000000501,0.0000000505,0.0000000505
36 laguerre_formula_-1.000000_1.000000,0.0000000246,-0.0000000493,0.0000000528,0.0000000528
3 laguerre_formula_-1.000000_1.000000,0.0000000191,-0.0000000544,0.0000000523,0.0000000544
37 laguerre_formula_-1.000000_1.000000,0.0000000216,-0.0000000499,0.0000000481,0.0000000499
38 laguerre_formula_-1.000000_1.000000,0.0000000217,-0.0000000531,0.0000000491,0.0000000531
39 laguerre_formula_-1.000000_1.000000,0.0000000213,-0.0000000450,0.0000000521,0.0000000521
40 laguerre_formula_-1.000000_1.000000,0.0000000204,-0.0000000435,0.0000000385,0.0000000435
41 laguerre_formula_-1.000000_1.000000,0.0000000214,-0.0000000491,0.0000000509,0.0000000509
42 laguerre_formula_-1.000000_1.000000,0.0000000198,-0.0000000508,0.0000000490,0.0000000508
43 laguerre_formula_-1.000000_1.000000,0.0000000183,-0.0000000493,0.0000000390,0.0000000493
44 laguerre_formula_-1.000000_1.000000,0.0000000202,-0.0000000404,0.0000000462,0.0000000462
45 laguerre_formula_-1.000000_1.000000,0.0000000222,-0.0000000463,0.0000000531,0.0000000531
4 laguerre_formula_-1.000000_1.000000,0.0000000217,-0.0000000459,0.0000000579,0.0000000579
46 laguerre_formula_-1.000000_1.000000,0.0000000235,-0.0000000537,0.0000000500,0.0000000537
47 laguerre_formula_-1.000000_1.000000,0.0000000197,-0.0000000497,0.0000000485,0.0000000497
48 laguerre_formula_-1.000000_1.000000,0.0000000205,-0.0000000506,0.0000000462,0.0000000506
49 laguerre_formula_-1.000000_1.000000,0.0000000130,-0.0000000545,0.0000000506,0.0000000545
6 laguerre_formula_-1.000000_1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7 laguerre_formula_-1.000000_1.000000,0.0000000221,-0.0000000528,0.0000000473,0.0000000528
8 laguerre_formula_-1.000000_1.000000,0.0000000233,-0.0000000507,0.0000000554,0.0000000554
9 laguerre_formula_-1.000000_1.000000,0.0000000229,-0.0000000480,0.0000000496,0.0000000496
,0.0000000194,-0.0000000409,0.0000000459,0.0000000459
