"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000170,-0.0000000413,0.0000000557,0.0000000557
0.0000036004,-0.0000004138,0.0002185664,0.0002185664
0.0000000929,-0.0000013589,0.0000013559,0.0000013589
0.0000000820,-0.0000005998,0.0000013223,0.0000013223
0.0000001766,-0.0000076513,0.0000002993,0.0000076513
0.0000000325,-0.0000001259,0.0000001338,0.0000001338
0.0000000244,-0.0000000803,0.0000000599,0.0000000803
0.0000000234,-0.0000000630,0.0000000572,0.0000000630
0.0000000226,-0.0000000557,0.0000000459,0.0000000557
0.0000000249,-0.0000000527,0.0000000547,0.0000000547
0.0000000195,-0.0000000461,0.0000000367,0.0000000461
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000215,-0.0000000464,0.0000000469,0.0000000469
0.0000000179,-0.0000000365,0.0000000475,0.0000000475
0.0000000202,-0.0000000417,0.0000000489,0.0000000489
0.0000000211,-0.0000000492,0.0000000547,0.0000000547
0.0000000249,-0.0000000475,0.0000000475,0.0000000475
0.0000000237,-0.0000000566,0.0000000556,0.0000000566
0.0000000265,-0.0000000622,0.0000000636,0.0000000636
0.0000000283,-0.0000001032,0.0000000613,0.0000001032
