0 laguerre_formula_-10000000.0000000_100000000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000003,0.0000000000,0.0000000174,0.0000000174
11 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
13 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
14 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000004,0.0000000000,0.0000000238,0.0000000238
18 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000002,0.0000000000,0.0000000095,0.0000000095
1 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000162,-0.0000000565,0.0000000498,0.0000000565
19 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000006,0.0000000000,0.0000000395,0.0000000395
2 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000018,-0.0000000223,0.0000000337,0.0000000337
4 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000061,-0.0000000498,0.0000000510,0.0000000510
5 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000225,-0.0000000523,0.0000000551,0.0000000551
6 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000233,-0.0000000438,0.0000000470,0.0000000470
7 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000234,-0.0000000565,0.0000000467,0.0000000565
8 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000204,-0.0000000530,0.0000000491,0.0000000530
9 laguerre_formula_-10000000.0000000_100000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
,0.0000000000,0.0000000000,0.0000000000,0.0000000000
