"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 23:42:29 2019","BGRT","REL",0.0000016801,-0.0000038698,0.0000684282,0.0000684282,2,62
"Wed Jun  5 23:42:30 2019","BGRT","REL",0.0000568245,-0.0002681104,0.0013677058,0.0013677058,1,62
"Wed Jun  5 23:42:32 2019","BGRT","REL",0.0000714562,-0.0038792869,0.0000921569,0.0038792869,2,62
"Wed Jun  5 23:42:34 2019","BGRT","REL",0.0000075966,-0.0000292316,0.0001510595,0.0001510595,2,62
"Wed Jun  5 23:42:36 2019","BGRT","REL",0.0000310012,-0.0000894580,0.0017139069,0.0017139069,2,62
"Wed Jun  5 23:42:37 2019","BGRT","REL",0.0000009469,-0.0000141261,0.0000062191,0.0000141261,1,62
"Wed Jun  5 23:42:39 2019","BGRT","REL",0.0000016836,-0.0000131150,0.0000182132,0.0000182132,2,62
"Wed Jun  5 23:42:43 2019","BGRT","REL",0.0000013279,-0.0000095314,0.0000212233,0.0000212233,1,62
"Wed Jun  5 23:42:45 2019","BGRT","REL",0.0000007011,-0.0000187357,0.0000034956,0.0000187357,2,62
"Wed Jun  5 23:42:50 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,5,62
"Wed Jun  5 23:42:52 2019","BGRT","REL",0.0000000222,-0.0000000538,0.0000000548,0.0000000548,2,62
"Wed Jun  5 23:42:54 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,2,62
"Wed Jun  5 23:42:56 2019","BGRT","REL",0.0000001690,-0.0000005663,0.0000024092,0.0000024092,2,62
"Wed Jun  5 23:43:00 2019","BGRT","REL",0.0000001436,-0.0000011487,0.0000014114,0.0000014114,4,62
"Wed Jun  5 23:43:01 2019","BGRT","REL",0.0000001115,-0.0000018127,0.0000002608,0.0000018127,1,62
"Wed Jun  5 23:43:03 2019","BGRT","REL",0.0000000227,-0.0000000525,0.0000000470,0.0000000525,2,62
"Wed Jun  5 23:43:05 2019","BGRT","REL",0.0000000488,-0.0000001272,0.0000002173,0.0000002173,2,62
"Wed Jun  5 23:43:07 2019","BGRT","REL",0.0000000293,-0.0000000516,0.0000001383,0.0000001383,1,62
"Wed Jun  5 23:43:10 2019","BGRT","REL",0.0000592444,-0.0005195078,0.0004475031,0.0005195078,3,62
"Wed Jun  5 23:43:12 2019","BGRT","REL",0.0001559033,-0.0018798217,0.0048560727,0.0048560727,2,62
