0 hermite_formula_-1.1_-0.9,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-1.1_-0.9,0.0000000389,-0.0000001028,0.0000000921,0.0000001028
11 hermite_formula_-1.1_-0.9,0.0000266665,-0.0000303963,0.0012128110,0.0012128110
12 hermite_formula_-1.1_-0.9,0.0000001991,-0.0000006381,0.0000004635,0.0000006381
13 hermite_formula_-1.1_-0.9,0.0000000214,-0.0000000413,0.0000000460,0.0000000460
14 hermite_formula_-1.1_-0.9,0.0000002615,-0.0000009215,0.0000010322,0.0000010322
16 hermite_formula_-1.1_-0.9,0.0000001420,-0.0000005185,0.0000003450,0.0000005185
18 hermite_formula_-1.1_-0.9,0.0000004332,-0.0000034312,0.0000043169,0.0000043169
1 hermite_formula_-1.1_-0.9,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-1.1_-0.9,0.0000000201,-0.0000000559,0.0000000657,0.0000000657
2 hermite_formula_-1.1_-0.9,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-1.1_-0.9,0.0000000689,-0.0000002743,0.0000002671,0.0000002743
4 hermite_formula_-1.1_-0.9,0.0000000965,-0.0000002764,0.0000003229,0.0000003229
5 hermite_formula_-1.1_-0.9,0.0000018670,-0.0000327290,0.0000621915,0.0000621915
6 hermite_formula_-1.1_-0.9,0.0000000466,-0.0000001115,0.0000001283,0.0000001283
7 hermite_formula_-1.1_-0.9,0.0000000210,-0.0000000483,0.0000000495,0.0000000495
9 hermite_formula_-1.1_-0.9,0.0000000435,-0.0000001086,0.0000000930,0.0000001086
,0.0000001717,-0.0000005930,0.0000004278,0.0000005930
