"Average Error","Error LB","Error UB","Abs. Worst"
0.0000000224,-0.0000000516,0.0000000447,0.0000000516
0.0000011683,-0.0000029409,0.0000058517,0.0000058517
0.0000000633,-0.0000000295,0.0000001431,0.0000001431
0.0000001089,-0.0000008166,0.0000005149,0.0000008166
0.0000000175,-0.0000000356,0.0000000370,0.0000000370
0.0000000242,-0.0000000727,0.0000000743,0.0000000743
0.0000000176,-0.0000000303,0.0000000303,0.0000000303
0.0000000243,-0.0000000852,0.0000000531,0.0000000852
0.0000000136,-0.0000000294,0.0000000294,0.0000000294
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000284,-0.0000000537,0.0000000542,0.0000000542
0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000210,-0.0000000525,0.0000000504,0.0000000525
0.0000000223,-0.0000000462,0.0000000448,0.0000000462
0.0000000232,-0.0000000451,0.0000000464,0.0000000464
0.0000000183,-0.0000000397,0.0000000366,0.0000000397
0.0000000198,-0.0000000550,0.0000000434,0.0000000550
0.0000000155,-0.0000000295,0.0000000275,0.0000000295
0.0000223292,-0.0000485609,0.0001304396,0.0001304396
0.0000005191,-0.0000006133,0.0000013738,0.0000013738
