"Log Time","RT Mode","Error Func.","Average Error","Error LB","Error UB","Abs. Worst","Elapse Time","# SVE"
"Wed Jun  5 22:41:40 2019","BGRT","REL",0.0000000200,-0.0000000445,0.0000000462,0.0000000462,4,62
"Wed Jun  5 22:41:41 2019","BGRT","REL",0.0000001836,-0.0000007667,0.0000037588,0.0000037588,1,62
"Wed Jun  5 22:41:43 2019","BGRT","REL",0.0000003637,-0.0000000304,0.0000023040,0.0000023040,2,62
"Wed Jun  5 22:41:45 2019","BGRT","REL",0.0000000312,-0.0000001264,0.0000001957,0.0000001957,2,62
"Wed Jun  5 22:41:47 2019","BGRT","REL",0.0000000232,-0.0000000359,0.0000000592,0.0000000592,2,62
"Wed Jun  5 22:41:49 2019","BGRT","REL",0.0000000225,-0.0000000461,0.0000000441,0.0000000461,2,62
"Wed Jun  5 22:41:52 2019","BGRT","REL",0.0000000167,-0.0000000352,0.0000000408,0.0000000408,3,62
"Wed Jun  5 22:42:07 2019","BGRT","REL",0.0000000205,-0.0000000480,0.0000000412,0.0000000480,15,62
"Wed Jun  5 22:42:31 2019","BGRT","REL",0.0000000160,-0.0000000384,0.0000000547,0.0000000547,24,62
"Wed Jun  5 22:42:38 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,7,62
"Wed Jun  5 22:42:46 2019","BGRT","REL",0.0000000227,-0.0000000490,0.0000000515,0.0000000515,8,62
"Wed Jun  5 22:42:51 2019","BGRT","REL",0.0000000000,0.0000000000,0.0000000000,0.0000000000,5,62
"Wed Jun  5 22:42:53 2019","BGRT","REL",0.0000000256,-0.0000000448,0.0000000429,0.0000000448,2,62
"Wed Jun  5 22:42:58 2019","BGRT","REL",0.0000000259,-0.0000000509,0.0000000544,0.0000000544,5,62
"Wed Jun  5 22:43:06 2019","BGRT","REL",0.0000000169,-0.0000000449,0.0000000569,0.0000000569,8,62
"Wed Jun  5 22:43:08 2019","BGRT","REL",0.0000000223,-0.0000000409,0.0000000411,0.0000000411,2,62
"Wed Jun  5 22:43:20 2019","BGRT","REL",0.0000000208,-0.0000000452,0.0000000535,0.0000000535,12,62
"Wed Jun  5 22:43:30 2019","BGRT","REL",0.0000000125,-0.0000000274,0.0000000293,0.0000000293,10,62
"Wed Jun  5 22:43:33 2019","BGRT","REL",0.0000103191,-0.0000023946,0.0003038167,0.0003038167,3,62
"Wed Jun  5 22:43:36 2019","BGRT","REL",0.0000052646,-0.0000049524,0.0000640941,0.0000640941,3,62
